Uniq Id,Product Name,Category,Selling Price,About Product,Technical Details,Shipping Weight,Image,Product Url
66d49bbed043f5be260fa9f7fbff5957,"Electronic Snap Circuits Mini Kits Classpack, FM Radio, Motion Detector, Music Box (Set of 5)",Toys & Games ,78.42,"Make sure this fits by entering your model number.  Snap circuits mini kits classpack provides basic electronic circuitry activities for students in grades 2-6  Includes 5 separate mini building kits- an FM radio, a motion detector, music box, space battle sound effects, and a flying saucer  Each kit includes separate components and instructions to build  Each component represents one function in a circuit; components snap together to create working models of everyday electronic devices  Activity guide provides additional projects to teach students how circuitry works","The snap circuits mini kits classpack provides basic electric circuitry information for students in grades 2-6. This classpack includes 5 snap-together building kits. Components snap together to create working models of everyday electronic devices. Kits included are an FM radio, a motion detector, a music box, space battle sound effects, and a flying saucer. Each mini kit comes with individual components, and an activity guide which includes instructions and additional project ideas. Each primary-colored component represents one function in a circuit. Activity kits are used by teachers and students in classroom and homeschool settings for educational and research applications in science, math, and for a variety of additional disciplines. Science education products and manipulatives incorporate applied math and science principles into classroom or homeschool projects. Teachers in pre-K, elementary, and secondary classrooms use science education kits, manipualtives, and products alongside science, technology, engineering, and math (STEM) curriculum to demonstrate STEM concepts and real-world applications through hands-on activities. Science education projects include a broad range of activities, such as practical experiments in engineering, aeronautics, robotics, chemistry, physics, biology, and geology.",1.81,https://images-na.ssl-images-amazon.com/images/I/51M0KnJxjKL.jpg,https://www.amazon.com/Electronic-Circuits-Classpack-Motion-Detector/dp/B008AK6DAS
2c55cae269aebf53838484b0d7dd931a,"3Doodler Create Flexy 3D Printing Filament Refill Bundle (X5 Pack, Over 1000'. of Extruded Plastics! - Innovate",Toys & Games ,27.45,"Make sure this fits by entering your model number.  ✅【Smooth 3D drawing experienced the best 3D drawing experience by only using 3Doodler Create Plastics with 3Doodler Create+ and create 3D Printing pen.  ✅【Safe to use】the 3Doodler Create Plastics, conforms to the health requirements of ASTM-D-4236 & require no additional labelling in accordance with the US Consumer Product safety Commission’s Regulations as mandated by Labeling of Hazardous Art Materials Act (LHAMA).  👍【3Doodler very own Type of plastic】the FLEXY plastic takes creativity to new levels! You can make flexible fun 3D creations!  🌍【Environmentally friendly】3doodler create Plastic is made of corn and are 100% compostable!  ✅【125 strands of drawing fun】this bundle includes 5 refill filament packs, that's a total of 1043 ft. Of 3D drawing and doodling fun!  📱【The 3Doodler app】get an interactive experience! The app is packed with dedicated easy to follow stencil section and step by step interactive instructions, receive badges for completed projects and photograph & share YOUR creations directly on social media. The app is fully built on iOS & Android.  ✅【All your favorite colors】this pack includes: green, blue, pink, orange & yellow","show up to 2 reviews by default No longer are you bound by the rigid constraints of hard plastic! Our FLEXY line you can now squeeze, stretch, and twist your creations providing a truly dynamic Doodling experience. Do you want to take your creativity to new levels? Explore the wide variety of FLEXY plastic refill colors for your 3Doodler Create 3D pen! Flexy Plastics are compatible with the 3Doodler V.1, 2.0, and create 3D printing pens. Available in single & mixed color pack containing 25 strands each, and single colors tubes containing 100 strands.  12.8 ounces (View shipping rates and policies)",0.36,https://images-na.ssl-images-amazon.com/images/I/513cBC8PqpL.jpg,https://www.amazon.com/3Doodler-Plastic-Innovate-Filament-Refills/dp/B07D36747F
18018b6bc416dab347b1b7db79994afa,Guillow Airplane Design Studio with Travel Case Building Kit,Toys & Games ,22.68,Make 8 different Planes at one time.  Experiment with different designs and learn about flight.  All contained in Part trays inside an attractive box with carry handle!  Guillow's - your one source for flying toys since 1926.  Made in the USA.,"Go to your orders and start the return Select the ship method Ship it!  Go to your orders and start the return Select the ship method Ship it!  13.4 ounces (View shipping rates and policies)  show up to 2 reviews by default Kit contains parts to let your imagination soar and build flying planes! comes with over 35 parts (balsa wood wings, tails & bodies, plastic propellers and landing gear, rubber motors, etc) to let you build your own unique flying toy designs. Simple to build, easy to fly and hours of fun!",0.38,https://images-na.ssl-images-amazon.com/images/I/516UijZMilL.jpg,https://www.amazon.com/Guillow-Airplane-Design-Studio-Building/dp/B076Y2SNHM
e04b990e95bf73bbe6a3fa09785d7cd0,Woodstock- Collage 500 pc Puzzle,Toys & Games ,13.72,Make sure this fits by entering your model number.  Puzzle has 500 pieces  Completed puzzle measure 14 x 19  100% officially licensed merchandise  Great for fans & puzzlers alike,show up to 2 reviews by default 100% Officially licensed merchandise; complete puzzle measures 14 x 19 in.  13.4 ounces (View shipping rates and policies),0.38,https://images-na.ssl-images-amazon.com/images/I/61plo8Xv4vL.jpg,https://www.amazon.com/Woodstock-Collage-500-pc-Puzzle/dp/B07MX21WWX
40d3cd16b41970ae6872e914aecf2c8e,"Rubie's Child's Pokemon Deluxe Pikachu Costume, X-Small","Clothing, Shoes & Jewelry ",22.85,"Make sure this fits by entering your model number.  Polyester  Deluxe Pokemon child's Pikachu costume features a fleece jumpsuit with attached tail and headpiece with attached ears and printed face  Officially licensed Pokemon costume, look for trademark on packaging and label to help assure you've received authentic safety-tested item  Important: Costumes are sized differently than apparel, use the Rubie's Child Size Chart, do not choose based on child's age or clothing size  Group costume fun: coordinate with additional Pokemon costumes and accessories available from Rubie's  Family-owned, family-focused, and based in the U.S.A. Since 1951, Rubie's has classic and licensed costumes and accessories in sizes and styles for your entire family","Go to your orders and start the return Select the ship method Ship it!  Go to your orders and start the return Select the ship method Ship it!  Size:Toddler Transform into the popular and cute mouse-like Pokemon while on the hunt. Officially licensed deluxe Pokemon child's Pikachu costume Featuring a fleece jumpsuit with attached tail and headpiece with attached ears and printed face. Costumes are sized differently than apparel, use the Rubies child's size chart, do not choose based on child's age or clothing size. Pair with other Rubie's Officially Licensed Pokemon costumes for group or family fun! Look for Pikachu, Ash, Misty, Brock, Dawn, clemont, Serena, cilan, may, Squirtle, Charizard, and many more! Rubie's brings fun and fantasy to dress-up with the broadest selection of costumes and accessories, offering everything from full mascot suits to masks and wigs, from deluxe licensed costumes to simple starter pieces, from costume shoes to character make-up, and so much more. Family-owned, family-focused, and based in new York since 1951, you can look to Rubie's for every costume occasion and season: Halloween, Christmas, Mardi Gras, Easter, and all in-between.  9.8 ounces (View shipping rates and policies)",0.28,https://images-na.ssl-images-amazon.com/images/I/311yBLR6GiL.jpg,https://www.amazon.com/Rubies-Deluxe-Pikachu-Pokemon-Costume/dp/B07BZJM592
cc2083338a16c3fe2f7895289d2e98fe,"ARTSCAPE Etched Glass 24"" x 36"" Window Film, 24-by-36-Inch",Home & Kitchen ,10.19,Make sure this fits by entering your model number.  The visual effect of textured glass and stained glass  Creates privacy / Provides UV protection  No adhesives / Applies easily  Patterns repeat to cover any size window  Made in USA,"show up to 2 reviews by default Product Description Artscape window films create the look of stained and etched glass. These thin, translucent films provide privacy while still allowing natural light to enter the room. Artscape films are easily applied to any smooth glass surface. They do not use adhesives and are easily removed if needed. They can be trimmed or combined to fit any size window. The images have a repeating pattern left to right and top to bottom and can be used either vertically or horizontally. These films provide UV protection and are the perfect decorative accent for windows that require continued privacy. Artscape patented products are all made in the USA. From the Manufacturer Artscape window films create the look of stained and etched glass. These thin, translucent films provide privacy while still allowing natural light to enter the room. Artscape films are easily applied to any smooth glass surface. They do not use adhesives and are easily removed if needed. They can be trimmed or combined to fit any size window. The images have a repeating pattern left to right and top to bottom and can be used either vertically or horizontally. These films provide UV protection and are the perfect decorative accent for windows that require continued privacy. Artscape patented products are all made in the USA.  12.2 ounces (View shipping rates and policies)",0.35,https://images-na.ssl-images-amazon.com/images/I/51iAe3LF7FL.jpg,https://www.amazon.com/ARTSCAPE-Etched-Glass-Window-Film/dp/B000Q3PRYA
7b0746d8afc8462ba17f8a763d9d5f1e,"Moonlite, 3-Story Bundle for Boys, Includes 3 Story Reels for Use with Storybook Projector",Toys & Games ,14.25,"Make sure this fits by entering your model number.  3 story reels: make reading even more magical with the Moonlite story reels bundle! With 3 story reels included in this set, read adventure-filled tales about Pirates, Dragon and a T-Rex to your little boy any time of day, and enjoy them again and again!  Easy-to-use portable storybook projector: The tales included in this 3-pack come alive with Moonlite! Clip the projector (sold separately) onto your smartphone (not included), slide in one of the set's story reels and project vibrant images onto any surface! Moonlite is lightweight and small enough to carry with you wherever you go.  Develop a love of learning: adored by children and adults, award-winning Moonlite and the story reels create an immersive reading experience that instills a love of learning at a young age. As kids follow along to their favorite stories, they develop their imagination, creativity and language skills.  The Moonlite 3-story bundle makes a great gift for boys aged 3 and up and includes 3 story reels. Read tales like how to be a pirate, there was an old Dragon who swallowed a Knight and I'm a T.Rex! Works with the Moonlite storybook projector (sold separately).  Includes: 3 story reels, 1 activation card, 1 quick start guide","Go to your orders and start the return Select the ship method Ship it!  Go to your orders and start the return Select the ship method Ship it!  Create a magical story time experience for your child with moonlit 3-story reels bundle! Add tales about pirates, Dragons and a T-Rex to your Moonlite collection and introduce your little boy to exciting, adventure-filled stories he'll love! With the award-winning Moonlite storybook projector for your smartphone (sold separately) and the story reels included in this set, Enjoy reading how to be a pirate, there was an old Dragon who swallowed a Knight and I'm a T.Rex! Clip the projector onto your smartphone or smart device (not included) and slide in a story reel. Use the free app to read along to beautiful projected illustrations and create a truly immersive reading experience with the in-app sound effects! As your child listens to these exciting stories, they'll develop their language skills, creativity and a love of reading and learning. Cozy up for story time with Moonlite and the history reels bundle!  3.2 ounces (View shipping rates and policies)",0.09,https://images-na.ssl-images-amazon.com/images/I/51rUvw7zrtL.jpg,https://www.amazon.com/Moonlite-3-Story-Bundle-Storybook-Projector/dp/B07NPJNZ9T
c5f4c94653a3befd8dd16adf2914c04e,DC Cover Girls: Black Canary by Joëlle Jones Statue,Toys & Games ,66.39,"Make sure this fits by entering your model number.  Designed by Joelle Jones  Sculpted by Jack Mathews  Rebirth-era character design  Limited to 5, 000 pieces  Individually numbered","Inspired by the powerful women of The DC universe, DC cover girls is a long-running line that features dynamic depictions of the most famous superheroes and Super-Villains in premium 9"" Statues, all based on art from some of the top talent in the comics industry. The latest entry in the line is black Canary. Coming from the eisner-nominated artist and writer Joelle Jones, this statue is a vibrant and modern take on DC's dangerous diva. With a rock 'n' Roll fashion sense-featuring the leather jacket and corset-infused rebirth-era character design-and a fearless attitude to take on any foe, this bird of prey is ready for whatever the night will throw at her. Measuring 9"" Tall, this sharply detailed sculpt is cast in Polynesian, and is a great piece for fans of Jones and black Canary. Limited to 5, 000 pieces and individually numbered. Figure measures approximately 9.40"" Tall.  2.1 pounds (View shipping rates and policies)",0.95,https://images-na.ssl-images-amazon.com/images/I/415AfhrfM7L.jpg,https://www.amazon.com/DC-Cover-Girls-Canary-Jo%C3%ABlle/dp/B07M7XYMRW
82c86a4d24dce5e14303033d7b658b78,"LEGO Minecraft Creeper BigFig and Ocelot Characters 21156 Buildable Toy Minecraft Figure Gift Set for Play and Decoration, New 2020 (184 Pieces)",Toys & Games ,11.76,"Make sure this fits by entering your model number.  Put Minecraft adventures in kids' hands with authentic real-world LEGO models of two iconic characters from the popular video game: a LEGO BigFig Creeper and an Ocelot that are fun to build, play with, display and collect  The extra-large, easy-to-build BigFig Creeper and the Ocelot add a whole new physical dimension to the Minecraft game, and movable limbs maximize possibilities for independent play and action poses  This awesome LEGO Minecraft BigFig Creeper and Ocelot are fun to build, bring the video game's action-packed creativity to life, and are great additions to any LEGO Minecraft fan's collection  This easy-to-build LEGO set makes a great holiday, birthday or anyday gift for all Minecraft players ages 7 and up and anyone wanting to expand their LEGO Minecraft collection  At over 4” (10cm) tall, the BigFig Creeper offers Minecraft fun on a large scale, whether it's sharing an adventure with the Ocelot (over 1” or 5cm tall) or spreading panic among other LEGO Minecraft BigFigs","show up to 2 reviews by default Kids can enjoy real-world Minecraft adventures on a big scale with 2 buildable characters from the popular video game: a BigFig Creeper and an Ocelot. This LEGO Minecraft toy provides hours of independent play and gives kids a cool LEGO Minecraft decoration for their room! Children ages 7 and up will love to recreate the familiar Minecraft confrontation between a Creeper and an Ocelot. The LEGO brick characters are easy to assemble and look amazing. Movable feet and a head that turns give the Creeper authentic mobility, and the yellow, spotted Ocelot is quick to react with its posable head, legs and tail. Easy to position – great to play and display! LEGO Minecraft BigFig sets are supercool, super-collectible and, best of all for adults, a super holiday or birthday gift for kids. Designed to put open-ended creative play in youngsters' hands, they're extra-large for extra enjoyment and take Minecraft fun to new heights!  5.6 ounces (View shipping rates and policies)",0.16,https://images-na.ssl-images-amazon.com/images/I/51LoYG%2BDsLL.jpg,https://www.amazon.com/LEGO-Minecraft-Characters-Buildable-Decoration/dp/B07WG9XJDZ
1ecccb43e0f5c0162218371916ffa553,C&D Visionary DC Comic Originals Flash Logo Sticker,Toys & Games ,3.92,"Make sure this fits by entering your model number.  Sticker is great for Walls, Doors, Desks, Guitars, Cars, Windows, and Notebooks  Comes ready to install, just peel the back and apply on clean surface  Great to be used on any scrapbooking projects  The absolute best sticker you will ever own is now available",show up to 2 reviews by default C&D Visionary is a manufacturer and wholesale distributor for licensed entertainment merchandise and original artworks. DC Comic Originals Flash Logo Sticker.  0.16 ounces (View shipping rates and policies),0.0,https://images-na.ssl-images-amazon.com/images/I/51RLMxSin-L.jpg,https://www.amazon.com/Visionary-Comic-Originals-Flash-Sticker/dp/B00U87LZ0Y
